,gu,dong
0,강남구,역삼1동
1,중구,명동
2,영등포구,여의동
3,종로구,종로1·2·3·4가동
4,서초구,서초3동
5,금천구,가산동
6,강남구,삼성1동
7,서초구,서초1동
8,마포구,서교동
9,중구,소공동
10,강남구,논현1동
11,서초구,양재1동
12,강서구,가양1동
13,구로구,구로3동
14,영등포구,영등포동
15,송파구,잠실6동
16,성동구,행당2동
17,노원구,상계5동
18,구로구,구로4동
19,관악구,청림동
20,강북구,삼각산동
21,성북구,돈암2동
22,강서구,화곡8동
23,강서구,화곡1동
24,양천구,목4동
25,성북구,길음1동
26,관악구,성현동
27,노원구,하계2동
28,관악구,은천동
29,용산구,용문동
30,노원구,중계1동
31,강서구,화곡3동
32,성북구,정릉1동
33,강서구,방화1동
34,강동구,명일1동
35,양천구,목3동
36,도봉구,방학1동
37,동작구,상도3동
38,성동구,왕십리2동
39,동작구,신대방1동
40,중구,청구동
41,광진구,자양1동
42,중구,동화동
43,은평구,역촌동
44,중구,신당동
45,중구,을지로동
46,중구,회현동
47,중구,광희동
48,구로구,구로2동
49,종로구,종로5·6가동
50,송파구,문정2동
51,성동구,성수2가3동
52,강남구,논현2동
53,영등포구,문래동
54,동대문구,용신동
55,서초구,서초2동
56,강동구,길동
57,서초구,양재2동
58,용산구,한강로동
59,동대문구,제기동
60,구로구,구로5동
61,동대문구,장안1동
62,강남구,청담동
63,강남구,신사동
64,금천구,독산1동
65,강남구,압구정동
